"gender","age","year","eyecolor","height","miles","brothers","sisters","computertime","exercise","exercisehours","musiccds","playgames","watchtv"
"387","female",19,"second","green",65,20,1,1,20,"Yes",4,40,8,2
"388","male",24,"first","brown",72,7000,0,1,40,"No",0,100,20,15
"389","female",19,"second","hazel",64,350,1,1,15,"Yes",3,250,0,10
"390","female",20,"third","hazel",72,0,0,2,15,"Yes",3,5,5,5
"391","female",20,"third","hazel",65,0,1,0,5,"Yes",1.5,27,0,5
"392","female",20,"third","brown",63,69,1,4,5,"Yes",5,100,3,5
"393","female",22,"fourth","green",64,180,2,0,3,"No",0,50,0,12
"394","female",20,"third","blue",65,65,2,0,3,"Yes",3,30,0,6
"395","female",20,"third","blue",60,0,1,1,8,"No",0,50,5,10
"396","female",21,"fourth","brown",62,460,1,2,10,"Yes",4,25,0,1
"397","male",22,"third","blue",72,40,0,1,10,"No",0,75,5,5
"398","male",20,"third","blue",74,240,1,1,2,"Yes",4,50,4,4
"399","female",22,"other","hazel",63,365,0,1,20,"Yes",5,180,3,8
"400","female",19,"second","brown",61,2300,1,1,5,"No",0,35,0,7
"401","female",20,"second","blue",69,63,3,2,5,"Yes",3,200,1,2
"402","female",22,"fourth","green",66,40,0,2,10,"Yes",5,35,1,15
"403","male",22,"other","blue",72,366,2,0,15,"Yes",10,1500,5,15
"404","female",21,"third","brown",69,33,1,0,4,"Yes",3.5,20,0,6
"405","male",22,"fourth","blue",72,35,2,1,15,"Yes",3,75,4,1
"406","female",20,"second","blue",65,8,0,0,14,"No",0,50,0,25
"407","female",21,"fourth","green",64,250,1,1,8,"Yes",4,70,0,4
"408","female",21,"fourth","hazel",63,350,1,0,10,"No",0,250,0,3
"409","female",19,"second","brown",62,160,1,0,2,"Yes",4,35,2,5
"410","female",20,"third","brown",67,286,0,2,2,"No",0,18,0,8
"411","male",21,"fourth","hazel",70,90,3,2,10,"Yes",2,4,15,3
"412","female",22,"other","brown",70,150,1,1,8,"No",0,150,0,2
"413","female",21,"fourth","green",66,50,4,1,5,"Yes",3,25,1,1
"414","female",20,"third","brown",62,205,0,1,6,"Yes",4,60,0,2
"415","male",19,"second","hazel",72,37,2,2,4,"Yes",20,100,2,2
"416","female",19,"second","green",64,75,1,1,14,"Yes",3,25,0,4
"417","female",24,"other","blue",66,45,0,0,8,"No",0,30,0,14
"418","female",21,"fourth","blue",64,75,1,0,15,"No",0,30,2,20
"419","male",20,"third","green",69,350,0,1,1,"Yes",7,100,4,4
"420","female",20,"second","brown",60,1700,0,1,4,"No",0,30,0,5
"421","male",23,"other","blue",73,150,3,2,3,"No",0,575,1,6
"422","female",20,"third","brown",65,200,0,1,16,"Yes",3,60,1,8
"423","male",22,"third","brown",70,140,2,1,5,"No",0,30,10,10
"424","female",22,"other","blue",65,400,0,1,10,"No",0,600,0,0
"425","male",20,"third","hazel",76,4500,1,0,10,"Yes",7,30,10,10
"426","female",22,"fourth","green",68,200,0,1,8.5,"Yes",9,50,0,2
"427","male",40,"other","blue",76,500,1,0,0,"No",0,100,21,15
"428","female",19,"second","hazel",62,175,1,2,12,"Yes",3,10,1,19
"429","male",22,"other","brown",69,15,0,1,10,"No",0,100,10,10
"430","male",20,"third","hazel",71,0,0,2,20,"No",0,5,0,5
"431","male",20,"third","green",75,176,1,2,21,"Yes",5,0,1,14
"432","female",19,"third","brown",67,42,0,3,4,"Yes",6,20,1,6
"433","female",19,"second","blue",72,198,2,2,45,"Yes",5,167,1,1
"434","male",21,"fourth","blue",68,100,0,2,15,"No",0,1500,2,10
"435","male",20,"second","hazel",76,100,1,1,4,"Yes",5,6,8,16
"436","female",21,"fourth","brown",62,185,4,4,2,"No",0,40,0,2
"437","female",39,"fourth","hazel",67,36,1,1,8,"No",0,30,0,14
"438","female",20,"third","blue",63,250,1,2,10,"No",0,100,2,8
"439","male",24,"third","hazel",71,120,4,0,12,"Yes",10,200,3,12
"440","male",41,"other","blue",74,0,1,1,2,"No",0,25,2,20
"441","male",26,"third","brown",68,20,0,1,20,"Yes",10,75,4,6
"442","female",21,"fourth","brown",69,210,1,0,5,"Yes",2,12,1,3
"443","female",20,"third","blue",60,90,0,4,20,"Yes",7,150,0,2
"444","male",21,"fourth","brown",70,96,1,1,8,"Yes",2,50,2,6
"445","male",20,"third","green",67,48,0,1,3,"Yes",2,150,0,3
"446","male",21,"fourth","blue",69,220,0,1,4,"No",0,10,10,2
"447","female",20,"third","green",63,430,1,2,2,"No",0,10,0,2
"448","female",21,"fourth","brown",66,60,0,2,1,"No",0,30,0,2
"449","female",20,"third","blue",65,200,1,1,5,"No",0,50,0,5
"450","female",20,"second","green",68,0,0,1,20,"Yes",3,84,0,4
"451","female",27,"second","hazel",62,244,2,0,5,"Yes",4,55,0,10
"452","male",20,"third","blue",71,450,1,1,7,"No",0,30,0,9
"453","male",21,"other","brown",69,170,2,0,15,"Yes",2,20,0,10
"454","female",19,"second","blue",67,120,0,1,15,"No",0,100,15,30
"455","male",19,"second","brown",68,3000,1,1,7,"No",0,0,12,0
"456","male",21,"fourth","brown",58,1000,3,0,10,"Yes",10,80,10,25
"457","female",20,"third","blue",62,330,2,0,5,"No",0,120,0.5,2
"458","female",19,"second","brown",62,200,2,0,10,"Yes",3,20,0,1
"459","female",20,"third","blue",66,1200,0,0,10,"Yes",5,100,5,10
"460","male",20,"third","blue",77,22,2,0,13,"Yes",4.5,200,1,9
"461","male",21,"third","hazel",73,138,1,0,8,"Yes",5,100,10,2
"462","female",19,"second","green",58,40,0,2,4,"No",0,36,0,5
"463","male",20,"third","hazel",72,100,0,1,40,"Yes",4,200,10,4
"464","female",20,"second","blue",64,120,2,1,5,"No",0,50,0,2
"465","male",21,"third","other",75,45,0,2,8,"Yes",8,200,0,5
"466","female",20,"third","hazel",65,90,1,1,18,"Yes",0,40,0,2
"467","male",19,"second","blue",73,120,3,1,15,"Yes",10,1000,2,8
"468","female",18,"first","brown",64,35,1,0,7.5,"No",0,100,0,15
"469","male",20,"second","hazel",73,80,2,1,5,"No",0,30,5,10
"470","female",20,"third","brown",69,110,0,3,15,"Yes",5,50,2,8
"471","male",20,"third","hazel",72,316,0,1,4,"Yes",10,300,3,15
"472","female",19,"second","blue",64,45,0,1,4,"Yes",4,75,0,2
"473","male",24,"fourth","blue",68,453,2,1,7,"Yes",6,300,8,4
"474","female",23,"other","blue",64,25,1,1,20,"Yes",5,30,4,3
"475","female",20,"third","hazel",68,90,1,1,4,"Yes",5,50,0,10
"476","male",21,"fourth","brown",67,30,1,0,24,"No",0,100,3,20
"477","female",20,"third","hazel",66,300,0,2,10,"No",0,100,2,10
"478","male",20,"third","brown",70,10,2,0,5,"No",0,0,5,5
"479","female",22,"fourth","brown",63,130,1,0,3,"No",0,300,10,10
"480","male",20,"third","blue",70,181,0,2,25,"Yes",5,10,3,10
"481","male",19,"second","hazel",66,30,1,2,20,"No",0,300,2,20
"482","female",20,"third","blue",70,73,2,0,5,"No",0,30,2,10
"483","female",22,"other","brown",71,0,2,0,2,"Yes",5,50,0,5
"484","female",19,"second","hazel",68,180,1,1,7,"No",0,30,1,4
"485","male",20,"third","blue",70,250,0,1,7,"Yes",5,35,3,3
"486","male",20,"third","blue",71,168,0,1,5,"No",0,20,1,16
"487","male",19,"second","blue",76,134,0,0,15,"No",0,300,4,14
"488","male",24,"third","blue",69,45,3,2,20,"Yes",20,45,0,2
"489","male",27,"fourth","blue",69,150,0,3,15,"No",0,30,5,10
"490","male",22,"fourth","hazel",75,200,0,1,1,"Yes",2,150,1,10
"491","male",22,"fourth","brown",77,50,1,1,3,"No",0,124,0,3
"492","female",22,"other","green",70,45,2,2,10,"Yes",4,100,2,12
"493","male",20,"third","brown",70,55,1,0,6,"No",0,25,9,12
"494","female",19,"second","green",80,107,3,0,10,"No",0,50,0,9
"495","female",20,"third","blue",64,27.5,1,0,7.5,"No",0,100,0,2.5
"496","male",19,"second","brown",69,240,1,1,10,"No",0,215,2,2
"497","female",19,"second","blue",65,160,1,1,10,"Yes",4.5,30,0,5
"498","male",20,"third","brown",70,118,2,0,20,"No",0,100,2,3
"499","female",20,"third","green",65,185,4,1,7.5,"Yes",4,75,3,2.5
"500","female",21,"third","blue",63,0,1,1,3,"Yes",8,48,1,10
"501","female",20,"third","hazel",68,99.6,1,0,30,"No",0,120,10,21
"502","male",20,"third","blue",79,30,0,1,5,"Yes",15,50,15,35
"503","male",39,"third","brown",68,525,1,1,12,"Yes",2,30,1,5
"504","female",19,"second","blue",63,90,3,1,8,"No",0,25,0,7
"505","female",19,"second","hazel",65,72,1,1,3,"Yes",4,81,3,15
"506","male",21,"fourth","blue",70,185,1,0,5,"Yes",3,17,1,4
"507","male",21,"fourth","blue",73,200,0,1,10,"Yes",6,150,3,5
"508","female",19,"second","green",67,150,2,1,18,"No",0,30,0,16
"509","female",19,"second","brown",67,135,1,1,6,"Yes",2,43,0,1
"510","female",21,"third","brown",70,90,0,1,2,"No",0,15,0,2
"511","male",20,"third","other",66,0,0,1,8,"No",0,100,8,6
"512","male",23,"other","green",69,20,2,2,4,"Yes",6,43,3,2.5
"513","male",20,"third","brown",69,370,0,2,10,"No",0,120,1,5
"514","male",22,"first","brown",72,1000,0,1,10,"No",0,50,20,10
"515","male",21,"third","brown",71,160,1,0,6.5,"Yes",6,150,0.5,3
"516","female",20,"second","green",64,150,0,1,4,"Yes",6,100,10,12
"517","female",24,"other","brown",60,700,1,2,10,"No",0,25,2,4
"518","female",19,"second","blue",62,45,1,1,2,"No",0,73,4,3
"519","female",19,"second","green",66,350,0,1,10,"Yes",3,50,0,8
"520","male",20,"third","blue",71,300,0,1,4,"Yes",12,0,1,4.5
"521","female",20,"third","brown",67,132,0,0,9,"Yes",5,37,0,3.5
"522","female",19,"second","blue",66,90,2,0,15,"Yes",6.5,50,0,2
"523","female",20,"third","green",72,320,2,0,7,"No",0,60,0,14
"524","female",20,"third","blue",63,220,2,2,1,"Yes",4,0,0,3
"525","female",21,"fourth","brown",65,60,3,1,1,"No",0,200,0,16
"526","female",22,"fourth","blue",67,175,4,2,6,"No",0,175,3,28
"527","male",21,"third","blue",72,140,1,0,3,"No",0,25,0,10
"528","female",21,"fourth","brown",66,10,0,1,15,"No",0,35,0,10
"529","male",23,"other","blue",72,30,0,1,7,"Yes",8,60,8,21
"530","female",19,"second","hazel",65,190,1,0,10,"Yes",7,123,2,2
"531","male",22,"fourth","hazel",69,10,1,2,8,"Yes",6,150,0,1
"532","female",18,"second","blue",66,889,2,0,4,"No",0,35,2,4
"533","female",20,"third","green",67,120,2,0,5,"No",0,200,0,5
"534","male",21,"fourth","brown",70,1400,1,0,12,"Yes",8,4,5,8
"535","male",20,"other","brown",69,65,1,2,6,"No",0,130,4,8
"536","female",20,"third","hazel",65,120,2,0,3,"Yes",10,30,0,6
"537","female",22,"other","green",64,150,1,2,2,"Yes",4,10,0,20
"538","female",19,"second","green",65,25,1,0,25,"Yes",7,20,2,5
"539","female",20,"third","hazel",68,400,0,3,14,"Yes",7,100,0,6
"540","female",19,"third","blue",67,40,2,1,12,"Yes",3,30,1,3
"541","male",20,"third","brown",70,209,1,1,3,"Yes",4,450,1,4
"542","female",19,"second","blue",69,40,0,2,10,"Yes",5,50,1,4.5
"543","female",19,"second","blue",66,180,0,2,6,"Yes",3,20,1,15
"544","male",21,"third","blue",69,100,1,1,1,"Yes",5,50,0,2
"545","female",19,"second","other",62,45,0,3,3,"No",0,25,1,15
"546","male",24,"third","green",73,350,2,1,5,"Yes",10,45,2,1
"547","male",23,"fourth","blue",64,40,1,1,30,"No",0,50,1,3
"548","female",21,"fourth","hazel",67,45,2,0,7,"Yes",4,40,0,5
"549","female",20,"third","blue",68,154,2,0,20,"Yes",3,35,2,4
"550","female",19,"second","green",64,45,1,1,4,"No",0,200,0,6
"551","female",20,"third","brown",65,0,1,1,3,"No",0,50,0,3
"552","female",20,"third","hazel",66,50,1,0,14,"Yes",4.5,100,0,4
"553","female",19,"second","blue",67,130,0,2,3,"Yes",3,90,0,3
"554","male",20,"second","blue",70,120,1,3,15,"Yes",10,100,7,9
"555","female",22,"third","brown",64,6000,0,3,15,"No",0,100,15,10
"556","female",20,"third","blue",65,43,0,2,4,"Yes",3,70,0,10
"557","female",19,"second","blue",72,20,1,1,35,"No",0,75,7,28
"558","male",19,"second","other",71,40,3,1,3,"Yes",8,10,2,10
"559","male",20,"second","brown",70,0,1,1,10,"Yes",10,50,0,40
"560","female",26,"third","hazel",68,150,0,1,12,"Yes",4,250,2,12
"561","female",20,"third","green",69,90,2,1,1,"Yes",1,10,0,10
"562","male",20,"third","blue",71,120,0,0,5,"No",0,125,2,20
"563","female",19,"second","brown",68,200,1,1,7,"Yes",5,200,0.5,3
"564","male",18,"first","blue",68,25,1,1,12,"No",0,20,21,15
"565","female",20,"third","blue",65,1000,1,0,20,"No",0,175,2,5
"566","female",21,"fourth","brown",63,65,2,3,10,"No",0,50,5,5
"567","male",22,"other","brown",69,60,1,1,28,"Yes",2,43,2,20
"568","male",20,"third","hazel",75,180,2,1,5,"Yes",5,60,15,15
"569","female",22,"fourth","green",66,0,2,0,3,"Yes",5,20,5,10
"570","female",20,"third","green",72,250,1,1,1,"No",0,20,1,12
"571","male",22,"other","brown",66,120,1,1,2,"Yes",5,50,3,3
"572","female",22,"fourth","blue",66,180,1,1,6,"No",0,25,0,3
"573","male",19,"second","blue",73,40,0,1,20,"No",0,100,3,1
"574","female",20,"third","brown",61,230,1,0,5,"No",0,10,20,15
"575","female",20,"third","brown",61,200,3,6,6,"Yes",9,78,5,10
"576","female",31,"fourth","brown",62,34,1,0,15,"Yes",3,50,0,3
"577","male",21,"third","blue",71,35,1,1,8,"No",0,10,10,10
"578","male",20,"third","hazel",72,180,0,0,5,"No",0,100,10,10
"579","female",19,"second","blue",67,60,2,1,21,"Yes",5,200,4,14
"580","female",19,"second","brown",66,60,2,1,20,"No",0,100,1,21
"581","male",20,"third","brown",74,235,1,1,10,"Yes",10,189,0,3
"582","male",26,"first","brown",70,5000,0,1,20,"No",0,10,10,10
"583","male",20,"third","brown",70,2500,0,0,10,"Yes",5,50,10,20
"584","female",20,"third","brown",64,300,0,3,10,"No",0,50,0,10
"585","female",18,"first","brown",67,35,0,1,8,"No",0,30,3,5
"586","female",21,"third","brown",64,50,1,3,2,"No",0,100,0,5
"587","male",22,"fourth","hazel",76,45,1,1,4,"Yes",5,150,2,2
"588","male",20,"third","blue",72,180,1,0,6,"No",0,100,2,6
"589","female",19,"second","green",64,100,1,1,2,"No",0,50,1,2
"590","male",21,"third","blue",70,100,2,0,2,"Yes",7,10,0,10
"591","male",19,"second","brown",71,388,0,1,10,"No",0,350,0,4
"592","male",24,"third","brown",77,90,2,0,2,"Yes",4,50,0,3
"593","female",22,"fourth","hazel",65,120,2,1,10,"Yes",6,30,0,0
"594","male",21,"fourth","blue",66,10,1,2,25,"Yes",5,60,10,10
"595","male",22,"other","blue",73,85,2,1,12,"Yes",3,35,1,8
"596","male",21,"fourth","blue",67,110,3,0,10,"Yes",8,200,0,6
"597","female",21,"third","brown",67,30,0,2,8,"Yes",4,128,0,2
"598","female",20,"second","green",68,105,0,1,6,"Yes",5,56,0,5
"599","male",19,"second","blue",74,130,2,0,15,"Yes",4,20,10,10
"600","female",21,"fourth","hazel",67,0,0,1,10,"Yes",5,40,2,21
"601","male",20,"third","blue",68,135,2,0,5,"No",0,40,12,4
"602","female",19,"second","blue",67,120,1,2,6,"Yes",0,125,0,4
"603","female",19,"third","blue",69,35,1,1,10,"Yes",4,20,0,0
"604","male",20,"third","brown",65,0,1,0,10,"No",0,35,2,8
"605","male",19,"second","brown",76,1381,0,1,5,"Yes",3.5,36,10,15
"606","male",19,"second","blue",69,140,1,1,10,"Yes",10,20,15,5
"607","female",19,"second","hazel",64,120,0,1,5,"Yes",4.5,50,10,13
"608","female",20,"third","blue",67,170,0,1,3,"Yes",6,100,3,7
"609","female",20,"third","blue",64,180,1,0,10,"Yes",7,20,1,5
"610","female",20,"third","hazel",70,210,0,1,7,"No",0,50,0.5,5
"611","male",20,"third","brown",72,113,0,1,5,"Yes",5,50,0,4
"612","female",22,"other","brown",61,326,1,1,65,"No",0,55,20,21
"613","female",20,"third","green",69,192,1,2,10,"Yes",8,50,0,6
"614","male",22,"first","brown",72,40,0,2,21,"No",0,400,24,21
"615","male",20,"third","blue",70,65,2,1,6,"No",0,25,0,2
"616","female",19,"second","brown",61,4000,0,1,10,"No",0,60,0,0
"617","male",22,"fourth","hazel",71,15,2,1,10,"Yes",7,10,0,5
"618","male",20,"third","brown",76,375,1,1,20,"Yes",8,35,1,5
"619","male",20,"third","brown",72,20,2,1,12,"Yes",8,300,0,10
"620","female",19,"second","blue",68,350,1,0,50,"No",0,50,0.5,10
"621","female",20,"third","brown",66,200,1,0,10,"Yes",5,60,0,10
"622","male",19,"second","blue",72,75,1,2,4,"No",0,5,2,5
"623","male",19,"second","brown",72,440,0,3,10,"No",0,400,1,8
"624","male",21,"third","hazel",75,200,1,3,5,"No",0,20,15,20
"625","female",20,"third","blue",66,400,0,1,6,"Yes",4,150,1,0
"626","female",21,"first","brown",66,7000,2,0,4,"No",0,87,20,56
"627","female",20,"third","brown",63,800,0,0,10,"Yes",9,10,0,20
"628","female",19,"second","blue",71,361.5,0,1,25,"Yes",7,200,0,10
"629","male",21,"fourth","brown",69,130,0,0,20,"No",0,400,20,35
"630","female",20,"third","brown",67,60,1,0,10,"Yes",4,40,1,2
"631","female",21,"third","brown",67,130,1,1,10,"Yes",3,300,0,14
"632","male",22,"fourth","blue",72,150,1,2,1,"No",0,50,2,10
"633","female",19,"second","blue",70,50,1,2,15,"Yes",4,75,0,4
"634","male",21,"second","brown",70,3000,1,0,5,"No",0,0,10,2
"635","female",21,"third","green",65,40,0,0,12,"Yes",4,25,0,4
"636","female",20,"third","brown",66,30,2,1,12,"Yes",9,100,2,2
"637","male",22,"fourth","blue",74,805.84,2,0,7,"No",0,30,0,0
"638","female",20,"third","blue",68,175,2,3,6,"Yes",5,15,2,10
"639","male",18,"first","blue",73,40,1,0,8,"No",0,200,12,8
"640","female",20,"third","hazel",60,250,0,0,6,"Yes",3,100,1,5
"641","male",20,"third","green",72,160,0,1,10,"Yes",7,100,1,2
"642","female",20,"third","brown",56,165,1,3,16,"No",0,80,0,14
"643","female",21,"fourth","green",66,120,1,1,15,"Yes",8,100,4,8
"644","female",20,"third","hazel",70,333,1,0,7,"No",0,50,0.5,5
"645","female",18,"first","hazel",62,120,2,2,8,"Yes",2,120,0,2
"646","female",22,"fourth","brown",67,30,1,4,8,"No",0,35,2,20
"647","female",20,"third","brown",67,134,1,1,4,"Yes",3,27,2,2
"648","female",19,"second","green",69,90,1,1,4,"Yes",5,20,0,15
"649","female",20,"third","blue",67,225,3,0,4,"Yes",5,65,2,7
"650","female",21,"third","blue",66,150,1,0,20,"Yes",2,100,1,7
"651","female",22,"other","blue",67,927,3,2,15,"Yes",5,250,0,0
"652","female",21,"other","brown",60,210,0,1,1,"No",0,150,0,15
"653","female",20,"third","green",66,60,3,1,1,"Yes",3,10,0,10
"654","female",19,"second","brown",66,350,0,1,20,"No",0,45,1,10
"655","male",22,"other","blue",72,110,1,2,15,"Yes",4,150,1,14
"656","male",21,"third","green",71,135,1,1,8,"Yes",3,156,10,6
"657","female",20,"third","hazel",61,30,1,1,15,"Yes",7,60,1,9
"658","male",25,"other","blue",71,37,1,3,5,"No",0,25,0,0
"659","female",21,"fourth","brown",66,8,1,1,1,"Yes",0,30,0,2
"660","female",20,"third","green",66,250,1,0,3,"Yes",5,100,0,10
"661","female",20,"third","brown",63,750,1,0,21,"Yes",6,64,0,3
"662","male",21,"third","blue",69,200,0,2,5,"Yes",3,100,8,15
"663","female",23,"other","hazel",62,180,1,0,5,"No",0,40,0,10
"664","female",19,"second","brown",66,200,0,1,20,"No",0,170,0,2
"665","female",20,"third","brown",68,330,0,2,25,"Yes",4,35,4,20
"666","female",20,"third","blue",71,150,1,2,21,"No",0,2,2,14
"667","female",21,"fourth","brown",60,250,1,0,5,"No",0,120,0,5
"668","female",20,"second","brown",63,250,2,1,18,"Yes",6,90,0,0
"669","male",23,"other","green",74,40,4,1,40,"Yes",2,100,5,20
"670","female",19,"second","blue",70,225,1,1,10,"Yes",3,45,0,2
"671","female",20,"third","brown",69,100,1,1,4,"Yes",2,10,1,3
"672","male",21,"third","blue",70,198,2,0,85,"Yes",4,50,1,15
"673","male",20,"third","blue",72,230,0,1,3,"Yes",4.5,30,10,5
"674","male",38,"first","other",67,6000,2,0,3,"No",0,0,0,7
"675","female",21,"fourth","hazel",62,2000,1,1,1,"Yes",22,150,0,4
"676","female",22,"fourth","blue",65,200,0,1,3,"Yes",3,30,0,6
"677","male",21,"fourth","brown",70,375,0,2,4,"Yes",8,150,2,10
"678","male",19,"second","hazel",72,120,1,1,16,"Yes",9,70,3,5
"679","male",21,"third","brown",75,110,0,1,15,"No",0,25,3,15
"680","female",20,"third","hazel",68,150,2,2,10,"No",0,200,2,10
"681","female",17,"first","brown",66,550,1,1,3,"No",0,100,0,10
"682","female",20,"third","green",63,210,2,2,23,"Yes",5,600,0,0
"683","male",21,"fourth","brown",72,300,1,0,10,"Yes",10,200,3,15
"684","male",21,"fourth","green",76,40,0,2,4,"Yes",6,330,10,6
"685","male",20,"third","blue",74,208,1,1,10,"Yes",9,120,1,4
"686","female",20,"fourth","brown",65,0,4,4,10,"Yes",3,35,1,1
"687","female",19,"second","green",68,40,2,0,15,"Yes",10,50,0,4
"688","female",20,"third","brown",62,2300,1,0,20,"No",0,10,5,70
"689","female",19,"second","hazel",63,250,1,0,10,"Yes",4,100,0.5,4
"690","male",25,"third","hazel",71,40,0,1,3,"No",0,300,0,15
"691","male",20,"third","blue",77,360,0,1,10,"Yes",7,0,5,10
"692","female",20,"third","brown",67,62,2,1,10,"No",0,50,3,30
"693","male",25,"fourth","blue",74,125,1,2,8,"Yes",8,0,1,12
"694","female",21,"fourth","brown",62,35,1,0,6,"Yes",3,400,4,6
"695","male",21,"other","hazel",72,93,1,0,20,"Yes",4.5,10,4,10
"696","male",20,"second","brown",72,212,3,3,2,"Yes",3,20,1,2
"697","male",21,"fourth","brown",70,200,0,1,5,"No",0,40,5,5
"698","male",19,"second","brown",68,180,4,0,8,"Yes",8,100,1,30
"699","male",20,"third","green",74,65,1,1,2,"No",0,30,5,15
"700","male",21,"third","hazel",67,45,2,1,3.5,"Yes",6,250,2,3
"701","female",19,"third","brown",71,620,1,0,21,"Yes",8,100,0,2
"702","female",20,"third","green",63,120,1,1,15,"Yes",6,40,0,10
"703","male",19,"second","blue",71,180,0,1,14,"Yes",9,60,10,21
"704","female",21,"fourth","green",64,60,0,2,3,"Yes",6,2,0,9
"705","male",24,"second","blue",72,90,1,1,4,"Yes",6,100,4,10
"706","female",19,"second","brown",61,45,2,0,2,"Yes",5,20,0,14
"707","male",22,"other","green",73,0,0,0,15,"No",0,40,2,1
"708","female",20,"third","hazel",63,0,0,3,3,"Yes",9,15,2,7
"709","female",19,"second","other",67,110,2,1,4,"Yes",9,25,0,5
"710","female",19,"second","brown",64,25,0,1,9,"Yes",9,100,0,9
"711","male",20,"second","other",72,5900,1,0,8,"Yes",1,15,2,12
"712","male",20,"third","hazel",70,212,0,2,20,"No",0,200,1,12
"713","male",21,"fourth","hazel",72,320,0,0,20,"Yes",6,50,10,10
"714","female",36,"fourth","blue",71,30,0,3,10,"No",0,50,2,5
"715","female",23,"fourth","green",69,120,0,1,3,"Yes",3,100,3,3
"716","female",20,"third","green",66,215,1,0,2,"Yes",3.5,50,2,3
"717","female",19,"second","brown",64,100,1,1,14,"Yes",6,40,0,5
"718","male",19,"second","hazel",72,100,0,1,2,"Yes",8,30,10,10
"719","female",21,"fourth","green",66,40,1,0,10,"Yes",4,150,0.5,4
"720","female",20,"third","green",63,210,0,1,30,"Yes",3,50,5,21
"721","male",22,"fourth","blue",70,100,0,1,15,"Yes",7.5,300,0,10
"722","male",23,"other","hazel",70,220,2,1,2,"Yes",15,50,15,7
"723","male",20,"third","blue",68,200,0,1,1,"No",0,60,3,10
"724","female",21,"fourth","hazel",67,240,1,1,20,"Yes",3,30,2,5
"725","male",24,"other","green",70,456,1,1,15,"No",0,50,15,5
"726","female",23,"other","brown",65,20,2,0,7,"No",0,75,3,7
"727","female",20,"third","hazel",65,30,0,1,7,"Yes",3,100,0,10
"728","male",20,"second","hazel",74,185,3,1,5,"No",0,5,0.5,3
"729","male",19,"second","green",78,140,0,1,8,"No",0,20,0,7
"730","female",20,"second","blue",63,60,0,2,10,"Yes",1,35,1,7
"731","female",21,"third","brown",67,85,1,0,5,"Yes",5,10,0,1
"732","male",18,"first","blue",72,100,1,1,10,"Yes",4,100,35,35
"733","female",19,"second","brown",68,35,1,1,7,"Yes",6,30,2,13
"734","male",21,"third","green",70,150,0,1,4,"Yes",3,75,4,4
"735","male",21,"third","blue",72,120,2,2,5,"No",0,40,2,15
"736","female",21,"fourth","blue",63,215,3,0,4,"Yes",4,40,2,3
"737","male",20,"third","brown",71,243,1,0,20,"Yes",8,120,0,3
"738","female",23,"other","blue",63,90,2,1,10,"Yes",4,75,1,20
"739","female",21,"third","blue",62,40,0,1,20,"Yes",12,30,0,5
"740","male",21,"second","brown",67,100,0,2,15,"Yes",4,85,3,8
"741","male",19,"first","green",74,40,1,0,10,"No",0,9,25,10
"742","male",21,"third","brown",70,0,0,0,19,"No",0,100,6,18
"743","female",18,"first","brown",68,170,4,2,10,"No",0,100,3,35
"744","female",20,"second","blue",69,113,1,0,20,"No",0,50,4,8
"745","male",23,"fourth","brown",75,100,1,1,5,"Yes",5,25,0,5
"746","female",19,"first","green",64,46,1,2,30,"No",0,50,2,0
"747","male",21,"third","blue",79,40,0,1,5,"Yes",5,50,20,20
"748","male",22,"fourth","green",76,45,3,3,4,"Yes",4,300,6,5
"749","male",21,"third","hazel",72,82,3,1,8,"Yes",4,25,1,5
"750","female",21,"third","blue",65,0,4,2,35,"Yes",3,100,0,2
"751","female",19,"second","brown",69,100,0,1,6,"Yes",2,100,1,3
"752","female",20,"second","hazel",68,200,1,0,15,"Yes",4.5,30,0,0.5
"753","female",28,"third","blue",63,35,2,0,4,"Yes",3,75,1,7
"754","female",22,"fourth","blue",68,95,1,0,10,"Yes",4,100,3,15
"755","female",20,"third","hazel",65,40,2,0,15,"Yes",3,40,1,18
"756","female",21,"third","blue",68,15,1,1,3,"Yes",10,100,0,15
"757","female",21,"third","blue",69,98,0,3,13,"Yes",6,44,0,2.5
"758","male",20,"second","hazel",70,99,0,2,20,"No",0,2,10,20
"759","male",19,"first","blue",61,60,3,1,20,"Yes",6,30,1,5
"760","male",20,"third","blue",72,300,0,1,10,"No",0,0,20,20
"761","female",22,"fourth","blue",64,87,0,1,2,"No",0,1400,0,2
"762","female",20,"third","blue",69,345,1,0,5,"Yes",5,20,5,15
"763","female",20,"second","blue",63,200,2,0,10,"Yes",10,100,1,2
"764","male",20,"second","brown",73,100,3,0,20,"Yes",8,10,20,7
"765","male",21,"third","hazel",76,150,1,2,6,"Yes",4.5,20,6,1
"766","male",19,"second","blue",74,150,1,1,3,"No",0,30,8,15
"767","female",18,"first","blue",65,359,2,1,2,"No",0,30,0,10
"768","female",27,"other","blue",62,175,2,0,20,"Yes",5,35,2,10
"769","male",18,"first","blue",71,30,3,0,30,"Yes",8,7,0,5
"770","male",19,"second","brown",71,160,0,0,14,"No",0,12,0,1
"771","female",22,"other","brown",66,100,0,1,7.5,"No",0,30,7.5,1
"772","female",18,"first","blue",65,146,4,0,5,"Yes",8,20,2,20
"773","male",20,"second","brown",73,200,0,0,28,"Yes",7,150,0,7
"774","female",23,"other","blue",67,300,1,1,10,"Yes",4,40,0,3
